Title,Acronym,Rank
ACM Transactions on Software Engineering and Methodology,TOSEM,A*
IEEE Transactions on Software Engineering,TSE,A*
Empirical Software Engineering,EMSE,A
Automated Software Engineering,ASE,B
International Journal of Agent Oriented Software Engineering,IJAOSE,B
International Journal of Software Engineering and Knowledge Engineering,IJSEKE,B
Journal of Software Engineering,JSE,C
